,trip_uuid,data,route_type,is_cutoff
150,trip-153672411988459333,training,Carting,False
151,trip-153672414018981725,training,FTL,False
152,trip-153672415020756821,training,Carting,False
153,trip-153672418178422181,training,Carting,False
154,trip-153672425803188288,training,Carting,False
155,trip-153672431895916022,training,Carting,False
156,trip-153672441218550740,training,Carting,False
157,trip-153672445663718863,training,Carting,False
158,trip-153672450350188570,training,Carting,False
159,trip-153672451189544188,training,Carting,False
160,trip-153672454740695837,training,Carting,False
161,trip-153672461009280410,training,Carting,False
162,trip-153672494389235158,training,Carting,False
163,trip-153672512613542907,training,Carting,False
164,trip-153672519077623083,training,Carting,False
165,trip-153672525257659165,training,FTL,False
166,trip-153672540460474516,training,Carting,False
167,trip-153672543219155559,training,Carting,False
168,trip-153672577155623714,training,Carting,False
169,trip-153672586564167775,training,Carting,False
170,trip-153672602762069952,training,Carting,False
171,trip-153672617834077732,training,FTL,False
172,trip-153672620720777341,training,FTL,False
173,trip-153672665248001692,training,Carting,False
174,trip-153672695897301514,training,Carting,False
175,trip-153672708669422456,training,Carting,False
176,trip-153672711713116348,training,Carting,False
177,trip-153672713039839724,training,Carting,False
178,trip-153672720630966730,training,Carting,False
179,trip-153672730050148686,training,Carting,False
180,trip-153672748691412100,training,Carting,False
181,trip-153672749921227547,training,Carting,False
182,trip-153672759903669220,training,Carting,False
183,trip-153672772947083137,training,FTL,False
184,trip-153672773961297465,training,FTL,False
185,trip-153672790230534782,training,Carting,False
186,trip-153672808393094644,training,Carting,False
187,trip-153672812854032840,training,Carting,False
188,trip-153672822352952165,training,FTL,False
189,trip-153672839307074463,training,FTL,False
190,trip-153672858267952820,training,FTL,False
191,trip-153672874579777811,training,Carting,False
192,trip-153672880926533564,training,Carting,False
193,trip-153672887541821030,training,Carting,False
194,trip-153672888737299317,training,Carting,False
195,trip-153672910344258396,training,FTL,False
196,trip-153672940362706716,training,FTL,False
197,trip-153672950567443529,training,Carting,False
198,trip-153672951329546981,training,Carting,False
199,trip-153672959414460093,training,Carting,False
200,trip-153672980669577242,training,Carting,False
201,trip-153672988367358584,training,Carting,False
202,trip-153672990417646450,training,FTL,False
203,trip-153672990689830527,training,Carting,False
204,trip-153672993959967279,training,Carting,False
205,trip-153673002682350292,training,FTL,False
206,trip-153673011869342487,training,Carting,False
207,trip-153673012557297456,training,FTL,False
208,trip-153673015657807119,training,FTL,False
209,trip-153673022184526893,training,FTL,False
210,trip-153673034777341588,training,Carting,False
211,trip-153673037415018148,training,Carting,False
212,trip-153673073027412884,training,Carting,False
213,trip-153673080853115028,training,FTL,False
214,trip-153673088381201691,training,Carting,False
215,trip-153673097098218825,training,Carting,False
216,trip-153673138564024513,training,Carting,False
217,trip-153673142386310284,training,Carting,False
218,trip-153673142558212478,training,Carting,False
219,trip-153673149494217241,training,Carting,False
220,trip-153673160689391455,training,FTL,False
221,trip-153673167382819064,training,FTL,False
222,trip-153673177622009920,training,Carting,False
223,trip-153673187649540346,training,Carting,False
224,trip-153673190515807673,training,FTL,False
225,trip-153673193589829199,training,FTL,False
226,trip-153673195446382519,training,Carting,False
227,trip-153673205624505891,training,Carting,False
228,trip-153673207765704721,training,FTL,False
229,trip-153673212880241423,training,Carting,False
230,trip-153673212889259623,training,Carting,False
231,trip-153673215973531719,training,Carting,False
232,trip-153673256276590285,training,Carting,False
233,trip-153673262045699874,training,Carting,False
234,trip-153673264931393247,training,Carting,False
235,trip-153673265552367343,training,Carting,False
236,trip-153673272485497113,training,Carting,False
237,trip-153673275082213870,training,FTL,False
238,trip-153673277610596498,training,Carting,False
239,trip-153673284118041423,training,Carting,False
240,trip-153673287245568976,training,Carting,False
241,trip-153673306951329606,training,Carting,False
242,trip-153673311186190356,training,Carting,False
243,trip-153673312898113858,training,FTL,False
244,trip-153673318719383090,training,FTL,False
245,trip-153673320520046917,training,FTL,False
246,trip-153673323948835707,training,Carting,False
247,trip-153673345184642848,training,Carting,False
248,trip-153673367606016726,training,Carting,False
249,trip-153673378734731044,training,Carting,False
250,trip-153673379909774378,training,FTL,False
251,trip-153673404344602262,training,Carting,False
252,trip-153673424644333580,training,Carting,False
253,trip-153673465075403520,training,Carting,False
254,trip-153673465290084710,training,Carting,False
255,trip-153673484160597271,training,Carting,False
256,trip-153673495038923445,training,Carting,False
257,trip-153673510267491368,training,Carting,True
258,trip-153673521432737313,training,Carting,True
259,trip-153673541039568251,training,Carting,False
260,trip-153673549440831945,training,Carting,False
261,trip-153673549485156899,training,Carting,False
262,trip-153673551648259571,training,Carting,False
263,trip-153673564396673932,training,Carting,False
264,trip-153673586858116198,training,FTL,False
265,trip-153673591278210512,training,Carting,False
266,trip-153673591727224910,training,Carting,False
267,trip-153673601753701329,training,Carting,False
268,trip-153673619703496263,training,Carting,False
269,trip-153673624962504801,training,Carting,False
270,trip-153673632842623605,training,Carting,False
271,trip-153673633086629901,training,FTL,False
272,trip-153673676023702527,training,Carting,False
273,trip-153673679350813545,training,FTL,False
274,trip-153673686310719201,training,Carting,False
275,trip-153673687702875276,training,Carting,False
276,trip-153673694915055454,training,Carting,False
277,trip-153673698511871750,training,FTL,False
278,trip-153673707590960410,training,Carting,False
279,trip-153673707846032352,training,FTL,False
280,trip-153673708236376897,training,FTL,False
281,trip-153673722788901938,training,Carting,False
282,trip-153673768655495407,training,Carting,False
283,trip-153673772553173607,training,Carting,False
284,trip-153673861738446583,training,Carting,False
285,trip-153673870138198614,training,FTL,False
286,trip-153673872111651363,training,Carting,False
287,trip-153673890384704429,training,Carting,False
288,trip-153673908248752314,training,Carting,False
289,trip-153673946527097571,training,Carting,False
290,trip-153673964393753095,training,Carting,False
291,trip-153673974549546810,training,Carting,False
292,trip-153673978559739191,training,Carting,False
293,trip-153673983898975120,training,FTL,False
294,trip-153674022097541190,training,Carting,False
295,trip-153674092354156767,training,FTL,False
296,trip-153674104258452132,training,FTL,False
297,trip-153674116832728404,training,Carting,False
298,trip-153674124739138582,training,FTL,False
299,trip-153674214391593208,training,Carting,False
300,trip-153674228377135882,training,Carting,False
301,trip-153674243442503441,training,FTL,False
302,trip-153674293200860130,training,FTL,False
303,trip-153674299106714230,training,Carting,False
304,trip-153674333510672860,training,Carting,False
305,trip-153674430901872100,training,Carting,False
306,trip-153674432246383524,training,Carting,False
307,trip-153674438447002130,training,Carting,False
308,trip-153674450893399682,training,Carting,False
309,trip-153674451374310332,training,Carting,False
310,trip-153674451943468946,training,Carting,False
311,trip-153674465035701477,training,Carting,False
312,trip-153674470738183472,training,FTL,False
313,trip-153674533387562326,training,Carting,False
314,trip-153674541945157100,training,Carting,False
315,trip-153674565728050217,training,Carting,False
316,trip-153674578163234417,training,Carting,False
317,trip-153674584362827302,training,FTL,False
318,trip-153674600842404064,training,Carting,False
319,trip-153674610800506386,training,Carting,False
320,trip-153674628212355302,training,Carting,False
321,trip-153674630780857565,training,Carting,False
322,trip-153674659356166521,training,FTL,False
323,trip-153674659846811233,training,Carting,False
324,trip-153674668820131930,training,Carting,False
325,trip-153674682712957523,training,Carting,False
326,trip-153674743034854688,training,Carting,False
327,trip-153674835902479284,training,FTL,False
328,trip-153674857936204442,training,FTL,False
329,trip-153674871092452865,training,Carting,False
330,trip-153674878263631265,training,FTL,False
331,trip-153674930716407879,training,Carting,False
332,trip-153674944412617050,training,Carting,False
333,trip-153674961066334376,training,FTL,False
334,trip-153674972565294950,training,Carting,False
335,trip-153675030000509791,training,FTL,False
336,trip-153675052928118299,training,Carting,False
337,trip-153675065204089215,training,FTL,False
338,trip-153675068422989747,training,FTL,False
339,trip-153675073153410184,training,FTL,False
340,trip-153675074365199847,training,FTL,False
341,trip-153675101597728636,training,Carting,False
342,trip-153675104692374277,training,FTL,False
343,trip-153675114062422523,training,FTL,False
344,trip-153675118680332107,training,FTL,False
345,trip-153675170461012211,training,FTL,False
346,trip-153675270372372706,training,Carting,False
347,trip-153675275300648311,training,Carting,False
348,trip-153675277150289730,training,FTL,False
349,trip-153675294391786238,training,FTL,False
350,trip-153675299562329635,training,Carting,False
351,trip-153675307564619941,training,Carting,False
352,trip-153675393727480957,training,Carting,False
353,trip-153675413059479338,training,Carting,False
354,trip-153675419509402357,training,Carting,False
355,trip-153675486507466472,training,FTL,False
356,trip-153675555607564723,training,FTL,False
357,trip-153675559642519803,training,FTL,False
358,trip-153675585876910425,training,FTL,False
359,trip-153675621407277021,training,FTL,False
360,trip-153675656562660066,training,Carting,False
361,trip-153675719055836184,training,FTL,False
362,trip-153675721035390062,training,FTL,False
363,trip-153675740409154778,training,FTL,False
364,trip-153675767346410936,training,Carting,False
365,trip-153675813938195151,training,FTL,False
366,trip-153675842919029600,training,Carting,False
367,trip-153675844457343253,training,FTL,False
368,trip-153675870947476378,training,Carting,False
369,trip-153675905019983481,training,Carting,False
370,trip-153675915097806555,training,FTL,False
371,trip-153675959648314302,training,Carting,False
372,trip-153675977469699059,training,Carting,False
373,trip-153676020765952709,training,Carting,False
374,trip-153676033839698871,training,Carting,False
375,trip-153676047728345648,training,Carting,False
376,trip-153676079707731792,training,FTL,False
377,trip-153676083428673231,training,Carting,False
378,trip-153676093831317129,training,FTL,False
379,trip-153676110479625615,training,Carting,False
380,trip-153676126992390519,training,FTL,False
381,trip-153676162213250334,training,Carting,False
382,trip-153676184847965228,training,Carting,False
383,trip-153676187342450690,training,FTL,False
384,trip-153676193557844895,training,FTL,False
385,trip-153676197247043814,training,Carting,False
386,trip-153676198902045336,training,FTL,False
387,trip-153676280902572366,training,Carting,False
388,trip-153676283275603143,training,FTL,False
389,trip-153676308190495310,training,FTL,False
390,trip-153676308640655880,training,FTL,False
391,trip-153676317189218665,training,FTL,False
392,trip-153676395481405780,training,Carting,False
393,trip-153676401840140692,training,FTL,False
394,trip-153676402864153839,training,Carting,False
395,trip-153676430840906553,training,FTL,False
396,trip-153676433513011320,training,Carting,False
397,trip-153676445308154574,training,FTL,False
398,trip-153676461039254598,training,FTL,False
399,trip-153676489219080861,training,Carting,False
400,trip-153676493099699243,training,Carting,False
401,trip-153676494180176787,training,Carting,False
402,trip-153676513828406777,training,Carting,False
403,trip-153676534687035658,training,Carting,False
404,trip-153676536164565003,training,Carting,False
405,trip-153676538155260807,training,Carting,False
406,trip-153676548231215741,training,Carting,False
407,trip-153676548851084091,training,FTL,False
408,trip-153676599124929710,training,Carting,False
409,trip-153676613972604302,training,Carting,False
410,trip-153676637557074618,training,FTL,False
411,trip-153676646084562342,training,FTL,False
412,trip-153676646927142016,training,Carting,False
413,trip-153676650439073518,training,FTL,False
414,trip-153676655202590470,training,Carting,False
415,trip-153676688865160068,training,Carting,False
416,trip-153676703486476302,training,FTL,False
417,trip-153676706765377609,training,Carting,False
418,trip-153676713437704377,training,Carting,False
419,trip-153676714973280295,training,Carting,False
420,trip-153676740189141840,training,Carting,False
421,trip-153676745646676788,training,FTL,False
422,trip-153676768634292184,training,Carting,False
423,trip-153676797641565023,training,Carting,False
424,trip-153676818435263785,training,Carting,False
425,trip-153676836653561497,training,Carting,False
426,trip-153676889612507982,training,Carting,False
427,trip-153676896035125817,training,FTL,False
428,trip-153676903199554731,training,Carting,False
429,trip-153676911004718471,training,Carting,False
430,trip-153676931495465546,training,Carting,False
431,trip-153676947460496470,training,Carting,False
432,trip-153676963602718837,training,Carting,False
433,trip-153676984671427164,training,FTL,False
434,trip-153676991493451223,training,Carting,False
435,trip-153677004511394901,training,FTL,False
436,trip-153677015300687587,training,FTL,False
437,trip-153677042406647718,training,FTL,False
438,trip-153677049796846904,training,Carting,False
439,trip-153677056637168609,training,FTL,False
440,trip-153677086662849007,training,Carting,False
441,trip-153677094675899836,training,Carting,False
442,trip-153677101487807548,training,Carting,False
443,trip-153677105057630147,training,Carting,False
444,trip-153677105766637692,training,Carting,False
445,trip-153677112995892638,training,Carting,False
446,trip-153677118059072703,training,FTL,False
447,trip-153677126908613554,training,FTL,False
448,trip-153677149011865516,training,Carting,False
449,trip-153677149130204202,training,Carting,False
450,trip-153677149140068571,training,Carting,False
451,trip-153677160129850735,training,Carting,False
452,trip-153677178234620807,training,Carting,False
453,trip-153677216270779828,training,FTL,False
454,trip-153677217385262510,training,Carting,False
455,trip-153677221094429644,training,FTL,False
456,trip-153677233078137552,training,FTL,False
457,trip-153677238573990094,training,Carting,False
458,trip-153677245640421237,training,FTL,False
459,trip-153677268385327095,training,FTL,False
460,trip-153677273679067708,training,FTL,False
461,trip-153677278234325183,training,Carting,False
462,trip-153677285384888515,training,Carting,False
463,trip-153677290536871258,training,Carting,False
464,trip-153677306898599652,training,Carting,False
465,trip-153677349792902334,training,FTL,False
466,trip-153677361949807709,training,Carting,False
467,trip-153677370180830463,training,Carting,False
468,trip-153677371396961699,training,FTL,False
469,trip-153677374402895411,training,Carting,False
470,trip-153677379573413743,training,Carting,False
471,trip-153677381759772920,training,FTL,False
472,trip-153677396067330881,training,Carting,False
473,trip-153677404500221308,training,Carting,False
474,trip-153677406123639050,training,Carting,False
475,trip-153677410355788616,training,FTL,False
476,trip-153677425621303790,training,FTL,False
477,trip-153677428952011396,training,Carting,False
478,trip-153677433306405127,training,FTL,False
479,trip-153677439480087696,training,FTL,False
480,trip-153677458987859663,training,Carting,False
481,trip-153677462088371743,training,Carting,False
482,trip-153677467042125962,training,Carting,False
483,trip-153677486203381361,training,Carting,False
484,trip-153677495458100709,training,FTL,False
485,trip-153677537874828423,training,FTL,False
486,trip-153677565802811555,training,FTL,False
487,trip-153677568535408023,training,FTL,False
488,trip-153677575440515136,training,FTL,False
489,trip-153677588533446067,training,FTL,False
490,trip-153677619174224537,training,Carting,False
491,trip-153677650448874624,training,FTL,False
492,trip-153677670781332048,training,FTL,False
493,trip-153677690691147138,training,Carting,False
494,trip-153677695511078898,training,Carting,False
495,trip-153677700634126859,training,Carting,False
496,trip-153677702743325657,training,Carting,False
497,trip-153677775486877649,training,Carting,False
498,trip-153677807324842524,training,FTL,False
499,trip-153677807734927407,training,Carting,False
500,trip-153677813402605583,training,Carting,False
501,trip-153677815714527966,training,Carting,False
502,trip-153677826138891143,training,Carting,False
503,trip-153677828137021943,training,Carting,False
504,trip-153677831415758535,training,Carting,False
505,trip-153677850685229009,training,FTL,False
506,trip-153677859428060873,training,Carting,False
507,trip-153677864342965699,training,Carting,False
508,trip-153677876987812357,training,FTL,False
509,trip-153677878258956685,training,Carting,False
510,trip-153677882741378033,training,Carting,False
511,trip-153677897858892262,training,FTL,False
512,trip-153677897865104337,training,Carting,False
513,trip-153677899967278710,training,FTL,False
514,trip-153677907675788361,training,Carting,False
515,trip-153677909187187643,training,FTL,False
516,trip-153677909453185865,training,Carting,False
517,trip-153677913714575972,training,Carting,False
518,trip-153677926409608703,training,FTL,False
519,trip-153677929140244352,training,Carting,False
520,trip-153677936599367940,training,FTL,False
521,trip-153677937630401638,training,Carting,False
522,trip-153677958263000196,training,FTL,False
523,trip-153677960987854558,training,FTL,False
524,trip-153677961650524846,training,FTL,False
525,trip-153677962405746793,training,Carting,False
526,trip-153677963616887641,training,FTL,False
527,trip-153677977460966025,training,Carting,False
528,trip-153677980129051821,training,FTL,False
529,trip-153677995714504124,training,Carting,False
530,trip-153678019226412038,training,FTL,False
531,trip-153678019488615240,training,Carting,False
532,trip-153678027575077638,training,Carting,False
533,trip-153678030574448589,training,Carting,False
534,trip-153678034331174276,training,Carting,False
535,trip-153678041969028347,training,Carting,False
536,trip-153678042147894062,training,Carting,False
537,trip-153678051561667178,training,Carting,False
538,trip-153678065734390146,training,Carting,False
539,trip-153678069007585868,training,Carting,False
540,trip-153678070044912447,training,Carting,False
541,trip-153678071942565182,training,Carting,False
542,trip-153678079256033748,training,Carting,False
543,trip-153678090013255872,training,FTL,False
544,trip-153678102112460897,training,Carting,False
545,trip-153678123631554535,training,Carting,False
546,trip-153678145410444155,training,FTL,False
547,trip-153678145512375299,training,Carting,False
548,trip-153678146284867367,training,Carting,False
549,trip-153678148696676909,training,FTL,False
550,trip-1536781564330551000,training,FTL,False
551,trip-153678156623610880,training,Carting,False
552,trip-153678170909686074,training,FTL,False
553,trip-153678177160606771,training,FTL,False
554,trip-153678177382881642,training,Carting,False
555,trip-153678178698168661,training,FTL,False
556,trip-153678185378562495,training,Carting,False
557,trip-153678193952850787,training,Carting,False
558,trip-153678197033223393,training,Carting,False
559,trip-153678201786730720,training,FTL,False
560,trip-153678202016042436,training,Carting,False
561,trip-153678233867364017,training,Carting,False
562,trip-153678238210636907,training,Carting,False
563,trip-153678247506498006,training,Carting,False
564,trip-153678248395755588,training,FTL,False
565,trip-153678266654221851,training,FTL,False
566,trip-153678267729408820,training,Carting,False
567,trip-153678278319262742,training,Carting,False
568,trip-153678295378455239,training,Carting,False
569,trip-153678306509714360,training,FTL,False
570,trip-153678335683616509,training,FTL,False
571,trip-153678345446154810,training,Carting,False
572,trip-153678346957101880,training,FTL,False
573,trip-153678359911158622,training,FTL,False
574,trip-153678369691961145,training,Carting,False
575,trip-153678386918787011,training,FTL,False
576,trip-153678392350660085,training,Carting,False
577,trip-153678402776441418,training,FTL,False
578,trip-153678404506160346,training,FTL,False
579,trip-153678405822188932,training,FTL,False
580,trip-153678414782442249,training,Carting,False
581,trip-153678423899578258,training,FTL,False
582,trip-153678424068345626,training,FTL,False
583,trip-153678427092512130,training,FTL,False
584,trip-153678438787668952,training,FTL,False
585,trip-153678449729815768,training,FTL,False
586,trip-153678469991623766,training,FTL,False
587,trip-153678476032423204,training,Carting,False
588,trip-153678481882807718,training,Carting,False
589,trip-153678486424956738,training,Carting,False
590,trip-153678492832595348,training,Carting,False
591,trip-153678508135177131,training,Carting,False
592,trip-153678521016975854,training,Carting,False
593,trip-153678523548442272,training,FTL,False
594,trip-153678538272904717,training,FTL,False
595,trip-153678550392489886,training,Carting,False
596,trip-153678553014134932,training,Carting,False
597,trip-153678557077479570,training,FTL,False
598,trip-153678562388716741,training,FTL,False
599,trip-153678564163182784,training,FTL,False
600,trip-153678580087275989,training,FTL,False
601,trip-153678592045792302,training,Carting,False
602,trip-153678592444733955,training,FTL,False
603,trip-153678593434659837,training,FTL,False
604,trip-153678603826417778,training,FTL,False
605,trip-153678604547177351,training,FTL,False
606,trip-153678608709187408,training,FTL,False
607,trip-153678610287331563,training,FTL,False
608,trip-153678610646323576,training,FTL,False
609,trip-153678612542400703,training,Carting,False
610,trip-153678621564391102,training,FTL,False
611,trip-153678624534826641,training,Carting,False
612,trip-153678644313486487,training,Carting,False
613,trip-153678644514042052,training,FTL,False
614,trip-153678662819011947,training,FTL,False
615,trip-153678675561318149,training,FTL,False
616,trip-153678682416499645,training,FTL,False
617,trip-153678688509843930,training,FTL,False
618,trip-153678706002201803,training,FTL,False
619,trip-153678710541514463,training,Carting,False
620,trip-153678720402374284,training,Carting,False
621,trip-153678732062039761,training,Carting,False
622,trip-153678756999546218,training,FTL,False
623,trip-153678759151108378,training,FTL,False
624,trip-153678774719088377,training,FTL,False
625,trip-153678786122448089,training,Carting,False
626,trip-153678791049860019,training,FTL,False
627,trip-153678808500824821,training,FTL,False
628,trip-153678812158669722,training,Carting,False
629,trip-153678812207548368,training,Carting,False
630,trip-153678814642487958,training,Carting,False
631,trip-153678818309580542,training,Carting,False
632,trip-153678820789323676,training,Carting,False
633,trip-153678822274266932,training,FTL,False
634,trip-153678848235386921,training,FTL,False
635,trip-153678853652341264,training,FTL,False
636,trip-153678857870695250,training,Carting,False
637,trip-153678866201591392,training,Carting,False
638,trip-153678873733682321,training,FTL,False
639,trip-153678876012744080,training,Carting,False
640,trip-153678880082039270,training,Carting,False
641,trip-153678900509800687,training,FTL,False
642,trip-153678925426386758,training,FTL,False
643,trip-153678927211198842,training,Carting,False
644,trip-153678939018171110,training,Carting,False
645,trip-153678943654754161,training,FTL,False
646,trip-153678961105143493,training,Carting,False
647,trip-153678990167691081,training,FTL,False
648,trip-153679000540274101,training,FTL,False
649,trip-153679003934158027,training,FTL,False
650,trip-153679037483093619,training,FTL,False
651,trip-153679042914999992,training,Carting,False
652,trip-153679062094689201,training,FTL,False
653,trip-153679063664116836,training,FTL,False
654,trip-153679066717848497,training,FTL,False
655,trip-153679070059645047,training,Carting,False
656,trip-153679070444425034,training,Carting,False
657,trip-153679078048252956,training,Carting,False
658,trip-153679080904681546,training,Carting,False
659,trip-153679082949410187,training,FTL,False
660,trip-153679100673526994,training,FTL,False
661,trip-153679108986838481,training,Carting,False
662,trip-153679114812586782,training,Carting,False
663,trip-153679118326958247,training,FTL,False
664,trip-153679125574352689,training,Carting,False
665,trip-153679127086886822,training,Carting,False
666,trip-153679131737845737,training,FTL,False
667,trip-153679135608348464,training,FTL,False
668,trip-153679143932640499,training,FTL,False
669,trip-153679153372387871,training,Carting,False
670,trip-153679158052102699,training,FTL,False
671,trip-153679177816498403,training,FTL,False
672,trip-153679180369144969,training,Carting,False
673,trip-153679191158631235,training,FTL,False
674,trip-153679191516359072,training,Carting,False
675,trip-153679192749849244,training,FTL,False
676,trip-153679197530763326,training,Carting,False
677,trip-153679199948551515,training,FTL,False
678,trip-153679207336691238,training,Carting,False
679,trip-153679209516244065,training,FTL,False
680,trip-153679209707399336,training,Carting,False
681,trip-153679222806099562,training,Carting,False
682,trip-153679226228578361,training,Carting,False
683,trip-153679228982161425,training,FTL,False
684,trip-153679230930932966,training,FTL,False
685,trip-153679236229800686,training,FTL,False
686,trip-153679241240309006,training,FTL,False
687,trip-153679241363854075,training,FTL,False
688,trip-153679244981339281,training,Carting,False
689,trip-153679246317336145,training,FTL,False
690,trip-153679251279554905,training,FTL,False
691,trip-153679252371354742,training,Carting,False
692,trip-153679265648134912,training,FTL,False
693,trip-153679268999279700,training,Carting,False
694,trip-153679282334219905,training,FTL,False
695,trip-153679285073702768,training,Carting,False
696,trip-153679309296173520,training,Carting,False
